member_id,tier,enrollment_date,tenure_days,primary_hub,days_since_last_booking,bookings_last_90d,bookings_last_180d,bookings_last_365d,total_bookings_lifetime,avg_fare,total_spend_lifetime,fare_class_most_common,pct_discount_fares,unique_routes_lifetime,route_diversity_score,pct_bookings_summer,pct_bookings_holiday,points_balance,points_earned_last_90d,points_earning_velocity,redemption_gap_days,points_redeemed_last_365d,points_expiring_soon,complaints_last_365d,support_tickets_open,avg_support_csat,promos_sent_last_180d,promos_redeemed_last_180d,promo_response_rate,app_logins_last_90d,email_open_rate,recency_score,frequency_score,monetary_score,rfm_score,churn_label
TB000012,Blue,2016-12-04,3550,JFK,252,2,4,4,20,309.43,5723.58,Blue Basic,0.304,2,0.1,0.547,0.128,18430,1952,21.69,26,9547,0,0,0,4.29,6,4,0.73,7,0.245,72.0,48,57.2,59.1,0
TB000013,Blue,2020-12-31,2062,JFK,19,3,6,6,13,399.65,5133.58,Blue,0.305,3,0.231,0.285,0.082,11147,2322,25.8,339,1793,0,2,0,3.8,4,3,0.706,12,0.313,97.9,72,51.3,73.7,1
TB000014,Blue,2025-09-15,343,MCO,120,3,4,8,8,342.38,2801.97,Blue Basic,0.234,6,0.75,0.32,0.173,12604,1498,16.64,47,14617,0,0,0,4.39,7,2,0.284,19,0.444,86.7,96,28.0,70.2,0
TB000015,Blue,2018-01-23,3135,BOS,216,0,0,3,12,248.76,2922.33,Blue,0.209,2,0.167,0.285,0.065,12807,0,0.0,406,1087,0,0,0,4.37,5,2,0.327,4,0.121,76.0,36,29.2,47.1,1
TB000016,Blue Plus,2025-07-12,408,JFK,231,3,6,8,8,296.3,2510.03,Blue,0.259,8,1.0,0.536,0.051,21721,590,6.56,41,10997,0,0,0,4.0,6,3,0.484,11,0.525,74.3,96,25.1,65.1,0
TB000017,Blue,2019-06-13,2629,MCO,18,2,4,4,21,333.88,7846.99,Blue Extra,0.085,8,0.381,0.402,0.096,20195,1799,19.99,8,3181,0,0,0,4.54,7,5,0.664,17,0.686,98.0,48,78.5,74.8,0
TB000018,Blue Plus,2021-10-07,1782,JFK,42,3,4,7,7,437.35,3138.67,Blue,0.376,4,0.571,0.066,0.178,15485,4520,50.22,168,14449,0,0,0,4.43,2,1,0.717,12,0.512,95.3,84,31.4,70.2,0
TB000019,Blue,2017-06-30,3342,FLL,449,0,3,4,18,239.64,4524.45,Blue Basic,0.008,6,0.333,0.461,0.174,12363,2950,32.78,345,0,0,2,0,3.4,6,3,0.531,10,0.449,50.1,48,45.2,47.8,1
TB000020,Blue,2025-08-30,359,FLL,33,0,2,3,9,368.19,3377.3,Blue Basic,0.185,2,0.222,0.107,0.023,10438,0,0.0,36,3843,0,2,0,2.19,3,0,0.002,24,0.426,96.3,36,33.8,55.4,0
TB000021,Blue,2021-02-12,2019,SJU,97,3,4,6,24,366.27,8387.53,Blue,0.093,9,0.375,0.475,0.157,11040,3230,35.89,32,15911,0,0,0,4.64,7,2,0.25,16,0.291,89.2,72,83.9,81.7,0
TB000022,Blue,2016-02-20,3838,JFK,83,1,3,3,15,283.28,3922.69,Blue,0.211,1,0.067,0.244,0.153,1063,731,8.12,107,634,0,3,0,2.17,5,1,0.16,9,0.0,90.8,36,39.2,55.3,1
TB000023,Blue Plus,2015-11-20,3930,SJU,280,0,2,4,12,236.21,2903.87,Blue,0.124,4,0.333,0.271,0.221,9586,2674,29.71,307,1720,0,2,0,3.24,4,1,0.272,3,0.096,68.9,48,29.0,48.6,1
TB000024,Blue,2024-04-23,853,BOS,55,1,1,5,9,336.95,2627.27,Blue Basic,0.453,4,0.444,0.365,0.158,12343,3961,44.01,70,12317,0,0,0,4.63,5,3,0.606,16,0.207,93.9,60,26.3,60.1,0
TB000025,Blue Plus,2019-10-01,2519,JFK,62,2,2,5,10,288.47,2781.18,Blue Extra,0.17,9,0.9,0.293,0.255,8582,1278,14.2,309,10832,0,1,0,4.16,7,4,0.501,16,0.305,93.1,60,27.8,60.3,0
TB000026,Blue Plus,2021-05-16,1926,MCO,273,2,4,6,11,418.13,4723.32,Blue Extra,0.284,6,0.545,0.193,0.01,14094,1594,17.71,34,3687,0,2,0,3.52,7,2,0.244,0,0.546,69.7,72,47.2,63.0,1
TB000027,Blue,2024-10-05,688,LAX,375,0,0,0,1,295.88,327.88,Blue,0.585,3,1.0,0.169,0.087,9114,2044,22.71,222,0,0,5,0,3.61,1,0,0.0,3,0.087,58.3,0,3.3,20.5,1
TB000028,Blue Plus,2017-05-01,3402,JFK,425,0,2,2,8,321.88,2438.52,Mint,0.115,6,0.75,0.268,0.066,9371,2526,28.07,89,7282,0,0,0,4.52,4,0,0.0,5,0.153,52.8,24,24.4,33.7,1
TB000029,Blue Plus,2021-03-13,1990,LAX,1,0,0,2,9,286.41,2923.41,Blue,0.458,9,1.0,0.254,0.146,21472,0,0.0,53,1554,0,0,0,4.92,4,3,0.648,0,0.334,99.9,24,29.2,51.0,0
TB000030,Blue,2015-03-06,4189,JFK,201,1,3,3,10,199.17,1959.76,Blue,0.142,8,0.8,0.248,0.17,15709,4067,45.19,178,7646,0,2,1,3.49,2,1,0.403,3,0.208,77.7,36,19.6,44.4,0
TB000031,Blue,2015-06-16,4087,FLL,393,1,2,4,20,306.14,6876.72,Blue Basic,0.436,9,0.45,0.537,0.213,13360,4455,49.5,80,12808,0,1,0,2.02,4,0,0.114,1,0.236,56.3,48,68.8,57.7,1
TB000032,Blue,2021-04-19,1953,JFK,900,0,0,0,7,266.16,2071.37,Blue,0.213,1,0.143,0.332,0.174,2500,1822,20.24,101,0,0,2,1,3.39,8,0,0.0,11,0.0,0,0,20.7,6.9,1
TB000033,Blue Plus,2020-11-13,2110,LAX,533,1,1,2,3,237.29,806.95,Mint,0.19,8,1.0,0.252,0.168,20124,1007,11.19,35,0,0,2,0,3.09,5,1,0.272,0,0.51,40.8,24,8.1,24.3,1
TB000034,Blue,2025-06-19,431,FLL,89,1,5,5,8,485.11,3553.73,Blue Basic,0.214,10,1.0,0.17,0.025,14371,2124,23.6,40,2249,0,0,0,4.78,6,3,0.538,13,0.671,90.1,60,35.5,61.9,0
TB000035,Blue,2014-08-29,4378,MCO,38,1,4,4,16,246.92,4389.72,Blue Extra,0.239,4,0.25,0.473,0.051,24825,733,8.14,473,0,1,2,0,2.22,6,1,0.086,0,0.399,95.8,48,43.9,62.6,0
TB000036,Blue Plus,2021-04-27,1945,JFK,652,1,1,4,4,179.55,710.5,Blue Extra,0.26,3,0.75,0.446,0.127,5909,1109,12.32,669,8038,0,2,0,3.85,5,1,0.179,1,0.16,27.6,48,7.1,27.6,1
TB000037,Blue,2017-05-30,3373,JFK,115,1,3,7,21,399.06,9589.35,Blue,0.415,4,0.19,0.288,0.181,23449,4604,51.16,81,4375,0,0,0,4.43,5,2,0.477,8,0.592,87.2,84,95.9,89.0,0
TB000038,Mosaic,2021-12-01,1727,BOS,52,0,1,1,1,242.33,277.52,Mint,0.029,3,1.0,0.335,0.134,20673,1674,18.6,72,3235,0,1,1,3.27,3,1,0.239,0,0.306,94.2,12,2.8,36.3,0
TB000039,Blue Plus,2015-04-07,4157,BOS,138,3,6,6,20,418.18,7187.22,Mint,0.334,4,0.2,0.087,0.161,16876,2764,30.71,136,12945,0,0,0,4.16,4,1,0.133,37,0.279,84.7,72,71.9,76.2,0
TB000040,Blue,2024-05-04,842,BOS,154,1,3,3,9,260.66,2619.07,Blue,0.333,3,0.333,0.31,0.214,12287,5755,63.94,228,4405,0,0,0,4.87,7,2,0.343,3,0.407,82.9,36,26.2,48.4,0
TB000041,Blue,2019-03-04,2730,FLL,397,0,2,2,9,263.91,2223.86,Blue,0.428,5,0.556,0.303,0.103,19407,3313,36.81,118,5733,0,0,0,4.77,2,1,0.62,6,0.122,55.9,24,22.2,34.0,1
TB000042,Mosaic,2020-07-26,2220,BOS,30,3,6,8,21,429.53,9445.91,Blue Basic,0.178,2,0.095,0.348,0.094,14148,4148,46.09,14,10112,0,0,0,4.35,5,4,0.709,21,0.432,96.7,96,94.5,95.7,0
TB000043,Blue Plus,2017-01-20,3503,JFK,65,1,1,1,4,284.7,1199.78,Blue,0.27,3,0.75,0.39,0.147,13801,4802,53.36,404,5013,1,0,0,4.08,6,2,0.398,14,0.283,92.8,12,12.0,38.9,1
TB000044,Blue,2018-08-15,2931,JFK,1,4,9,12,32,339.51,11103.55,Blue Extra,0.136,8,0.25,0.422,0.14,25262,2951,32.79,36,7811,0,0,0,4.84,7,4,0.533,21,0.769,99.9,100,100,100.0,0
TB000045,Blue Plus,2022-10-17,1407,FLL,23,3,6,12,12,513.81,6434.75,Blue Basic,0.297,8,0.667,0.188,0.069,16365,2597,28.86,65,1520,0,0,0,4.53,3,2,0.808,14,0.442,97.4,100,64.3,87.2,0
TB000046,Blue,2019-06-23,2619,BOS,80,2,3,6,20,337.74,6370.6,Blue,0.525,6,0.3,0.147,0.0,19866,3199,35.54,91,0,0,0,0,4.49,5,3,0.582,6,0.46,91.1,72,63.7,75.6,0
TB000047,Blue,2025-03-06,536,SJU,518,1,1,1,1,191.95,203.91,Mint,0.129,2,1.0,0.282,0.197,1151,1143,12.7,349,3500,0,0,0,4.66,6,0,0.0,0,0.078,42.4,12,2.0,18.8,1
TB000048,Blue,2023-03-12,1261,SJU,31,2,2,7,8,207.89,1710.54,Mint,0.239,6,0.75,0.419,0.04,14449,0,0.0,319,0,0,1,0,2.85,7,2,0.29,12,0.425,96.6,84,17.1,65.9,0
TB000049,Blue Plus,2023-06-25,1156,FLL,139,3,3,5,9,275.72,2602.03,Blue Extra,0.086,4,0.444,0.469,0.279,16959,0,0.0,22,3508,0,0,0,4.37,4,1,0.307,17,0.471,84.6,60,26.0,56.9,0
TB000050,Blue,2019-08-16,2565,FLL,62,2,5,10,19,367.41,7545.06,Blue Extra,0.047,7,0.368,0.438,0.019,21602,4291,47.68,39,17098,0,0,0,5.0,8,5,0.684,14,0.598,93.1,100,75.5,89.5,0
TB000051,Blue,2023-04-05,1237,MCO,335,1,3,3,11,286.48,3053.39,Blue,0.213,6,0.545,0.623,0.183,17672,271,3.01,295,10443,0,1,0,3.48,4,1,0.302,3,0.443,62.8,36,30.5,43.1,1
TB000052,Blue Plus,2023-03-19,1254,BOS,180,0,1,2,3,256.29,750.38,Blue Extra,0.24,3,1.0,0.332,0.142,3542,822,9.13,50,0,0,2,0,2.2,7,4,0.625,16,0.363,80.0,24,7.5,37.2,1
TB000053,Blue,2015-03-07,4188,SJU,143,0,0,0,7,260.27,1979.59,Blue,0.28,1,0.143,0.425,0.205,4185,2931,32.57,539,0,1,0,0,4.59,6,1,0.088,0,0.321,84.1,0,19.8,34.6,1
TB000054,Blue,2025-08-16,373,LAX,91,2,3,3,10,301.76,2823.97,Blue Extra,0.49,5,0.5,0.432,0.204,18559,40,0.44,550,0,1,2,0,4.15,4,2,0.38,0,0.484,89.9,36,28.2,51.4,1
TB000055,Blue,2019-12-23,2436,JFK,181,1,1,5,5,332.38,1587.89,Blue Basic,0.37,3,0.6,0.298,0.371,13831,1579,17.54,231,0,0,2,0,3.83,5,0,0.031,1,0.383,79.9,60,15.9,51.9,1
TB000056,Blue,2018-05-08,3030,LAX,9,2,3,5,5,261.06,1139.61,Blue Basic,0.239,4,0.8,0.35,0.189,5680,0,0.0,180,0,0,1,0,1.0,8,0,0.0,20,0.058,99.0,60,11.4,56.8,0
TB000057,Blue,2016-06-04,3733,FLL,587,3,6,6,28,334.1,9942.86,Blue,0.208,8,0.286,0.285,0.0,8105,542,6.02,96,11721,0,1,1,3.84,5,1,0.26,12,0.517,34.8,72,99.4,68.7,1
TB000058,Blue,2024-08-18,736,SJU,108,2,2,4,4,394.05,1399.03,Blue,0.383,7,1.0,0.506,0.259,8134,2099,23.32,171,14256,0,1,0,4.29,3,1,0.429,20,0.578,88.0,48,14.0,50.0,0
TB000059,Blue,2014-12-05,4280,FLL,11,1,2,2,27,421.1,11483.89,Blue,0.385,11,0.407,0.43,0.249,22424,2475,27.5,147,22764,0,0,0,5.0,8,5,0.58,12,0.61,98.8,24,100,74.3,0
TB000060,Blue,2025-11-19,278,BOS,89,0,2,2,4,137.88,518.0,Blue Basic,0.47,3,0.75,0.243,0.166,14373,3037,33.74,134,7893,0,1,0,3.05,3,1,0.236,7,0.277,90.1,24,5.2,39.8,1
TB000061,Blue Plus,2025-06-06,444,BOS,137,2,3,8,11,354.53,3990.72,Blue,0.276,3,0.273,0.247,0.151,27135,2584,28.71,137,11146,0,0,0,4.42,6,0,0.0,12,0.278,84.8,96,39.9,73.6,0
TB000062,Blue,2024-02-26,910,LAX,384,1,1,1,1,243.35,221.06,Blue,0.497,3,1.0,0.426,0.051,2796,0,0.0,40,0,0,4,0,2.56,6,0,0.0,0,0.135,57.3,12,2.2,23.8,1
TB000063,Blue,2015-12-10,3910,BOS,441,1,4,8,14,324.47,4701.34,Blue Extra,0.14,3,0.214,0.324,0.085,12444,114,1.27,298,12788,0,1,0,3.15,2,1,0.469,9,0.532,51.0,96,47.0,64.7,1
TB000064,Blue,2021-06-17,1894,JFK,32,0,0,0,6,259.47,1641.23,Blue Basic,0.345,4,0.667,0.233,0.18,7902,2244,24.93,162,708,0,0,0,4.87,3,1,0.228,0,0.0,96.4,0,16.4,37.6,0
TB000065,Blue,2018-02-11,3116,MCO,420,2,2,5,14,192.83,2815.68,Blue,0.201,4,0.286,0.332,0.216,27247,183,2.03,345,3310,0,0,0,4.04,6,0,0.0,2,0.298,53.3,60,28.2,47.2,1
TB000066,Blue,2018-01-18,3140,MCO,40,1,2,3,28,383.78,9388.74,Mint,0.099,3,0.107,0.394,0.245,23682,1674,18.6,19,3021,0,0,0,4.53,8,1,0.169,12,0.608,95.6,36,93.9,75.2,0
TB000067,Blue,2024-04-23,853,LAX,574,0,2,3,3,187.08,557.15,Blue,0.281,3,1.0,0.191,0.011,18029,2770,30.78,178,3546,0,0,0,4.71,5,2,0.388,6,0.771,36.2,36,5.6,25.9,1
TB000068,Blue,2015-06-15,4088,BOS,219,3,4,6,20,414.42,9353.76,Blue,0.037,7,0.35,0.399,0.122,9891,2460,27.33,240,3821,0,2,0,3.74,5,2,0.34,19,0.397,75.7,72,93.5,80.4,1
TB000069,Blue,2017-06-21,3351,SJU,10,0,1,1,16,372.8,5513.95,Blue Basic,0.269,9,0.562,0.288,0.271,23064,2571,28.57,181,11062,0,0,0,4.36,7,0,0.0,13,0.392,98.9,12,55.1,55.3,0
TB000070,Blue Plus,2019-12-13,2446,MCO,506,2,2,3,15,292.77,4657.6,Blue Extra,0.283,1,0.067,0.363,0.03,3264,364,4.04,162,775,0,0,0,4.67,5,3,0.524,0,0.397,43.8,36,46.6,42.1,1
TB000071,Blue Plus,2014-11-23,4292,LAX,291,1,1,2,7,252.24,1570.72,Blue,0.129,2,0.286,0.33,0.071,12487,0,0.0,268,8861,0,1,1,4.78,5,3,0.601,13,0.364,67.7,24,15.7,35.8,1
TB000072,Blue,2017-02-19,3473,JFK,158,2,3,3,17,294.13,5562.06,Blue Basic,0.371,2,0.118,0.16,0.127,6767,749,8.32,8,0,0,3,0,1.69,5,1,0.11,10,0.092,82.4,36,55.6,58.0,1
TB000073,Blue,2024-01-13,954,MCO,44,3,8,9,13,402.52,5380.24,Blue,0.07,3,0.231,0.343,0.069,18059,4229,46.99,131,17579,0,0,0,4.32,9,5,0.526,11,0.367,95.1,100,53.8,83.0,0
TB000074,Blue Plus,2019-10-18,2502,JFK,14,0,1,4,11,371.98,4380.51,Blue Basic,0.117,5,0.455,0.632,0.117,14003,1181,13.12,11,9049,0,0,0,4.02,8,2,0.216,22,0.526,98.4,48,43.8,63.4,0
TB000075,Blue,2025-04-09,502,MCO,260,0,0,1,3,262.86,888.47,Blue Extra,0.551,3,1.0,0.461,0.175,2652,0,0.0,32,2688,0,0,0,4.37,4,0,0.111,16,0.0,71.1,12,8.9,30.7,1
TB000076,Blue Plus,2022-04-21,1586,SJU,687,2,2,4,8,324.94,2923.26,Blue,0.258,4,0.5,0.309,0.221,20550,1571,17.46,197,7504,0,0,0,4.38,7,3,0.439,17,0.636,23.7,48,29.2,33.6,0
TB000077,Mosaic,2017-03-14,3450,BOS,24,3,3,4,7,300.82,2003.13,Blue Extra,0.0,6,0.857,0.161,0.182,13332,3297,36.63,101,14113,0,2,0,4.65,5,2,0.494,12,0.484,97.3,48,20.0,55.1,0
TB000078,Mosaic,2023-06-25,1156,JFK,61,1,5,7,7,437.43,3215.19,Blue,0.042,7,1.0,0.229,0.133,27044,3400,37.78,53,9176,0,1,0,2.55,8,6,0.732,34,0.435,93.2,84,32.2,69.8,0
TB000079,Blue,2020-11-26,2097,JFK,66,1,1,4,4,245.78,902.27,Blue,0.382,3,0.75,0.448,0.193,11499,2034,22.6,1,10891,0,1,0,3.84,3,1,0.433,9,0.352,92.7,48,9.0,49.9,0
TB000080,Blue Plus,2015-11-25,3925,JFK,170,4,5,9,19,274.88,5771.78,Blue Basic,0.286,6,0.316,0.441,0.121,5482,1253,13.92,378,3587,0,0,0,4.01,8,3,0.422,0,0.585,81.1,100,57.7,79.6,1
TB000081,Blue Plus,2024-05-16,830,SJU,107,1,1,1,1,288.55,247.83,Blue Basic,0.493,3,1.0,0.24,0.125,10269,2564,28.49,165,3208,0,0,0,4.5,6,1,0.104,11,0.183,88.1,12,2.5,34.2,0
TB000082,Blue,2018-06-23,2984,SJU,54,1,1,3,14,333.99,4604.1,Blue,0.236,5,0.357,0.198,0.114,15122,0,0.0,2,0,0,1,0,1.51,3,1,0.353,21,0.327,94.0,36,46.0,58.7,0
TB000083,Blue Plus,2020-07-18,2228,BOS,86,1,1,3,13,324.37,3896.24,Blue,0.184,4,0.308,0.359,0.157,3263,3713,41.26,98,10904,0,0,0,3.82,7,1,0.179,2,0.294,90.4,36,39.0,55.1,0
TB000084,Blue,2015-10-27,3954,BOS,800,3,3,6,6,249.65,1382.15,Blue,0.366,1,0.167,0.423,0.128,12224,1021,11.34,454,13090,0,1,0,3.53,2,1,0.53,12,0.276,11.1,72,13.8,32.3,1
TB000085,Blue Plus,2019-10-10,2510,JFK,150,3,4,5,20,323.04,6268.54,Blue,0.452,4,0.2,0.379,0.077,19922,1203,13.37,165,16861,0,1,0,3.08,8,8,0.952,19,0.351,83.3,60,62.7,68.7,0
TB000086,Blue,2016-11-28,3556,FLL,32,2,3,3,14,281.51,3792.31,Blue,0.156,3,0.214,0.335,0.165,18521,3188,35.42,568,18309,1,2,0,3.2,6,1,0.158,13,0.187,96.4,36,37.9,56.8,1
TB000087,Blue Plus,2019-10-31,2489,JFK,1,3,5,8,25,268.44,7195.18,Blue,0.073,7,0.28,0.434,0.135,15830,4038,44.87,30,10670,0,0,0,4.3,5,2,0.434,15,0.571,99.9,96,72.0,89.3,0
TB000088,Blue,2025-02-28,542,JFK,210,0,0,1,7,272.52,1901.62,Mint,0.269,4,0.571,0.255,0.112,11002,0,0.0,619,468,0,1,1,3.16,6,0,0.049,7,0.072,76.7,12,19.0,35.9,1
TB000089,Blue,2023-06-22,1159,JFK,150,0,0,0,4,233.96,842.31,Blue Basic,0.414,7,1.0,0.546,0.003,4808,1202,13.36,147,0,0,0,0,4.11,7,1,0.136,0,0.32,83.3,0,8.4,30.6,1
TB000090,Blue,2021-08-14,1836,SJU,131,2,4,7,11,187.34,2091.48,Blue Basic,0.471,7,0.636,0.155,0.115,11870,126,1.4,56,0,0,1,0,3.47,10,5,0.452,11,0.365,85.4,84,20.9,63.4,0
TB000091,Blue,2023-12-07,991,JFK,243,0,0,0,1,225.13,202.57,Blue Basic,0.291,6,1.0,0.216,0.108,9702,1507,16.74,765,4882,0,2,0,4.61,3,2,0.567,21,0.324,73.0,0,2.0,25.0,1
TB000092,Blue Plus,2023-09-20,1069,BOS,21,1,2,5,11,264.32,2595.4,Blue,0.157,4,0.364,0.185,0.027,19172,3131,34.79,60,12622,0,0,0,4.84,5,4,0.711,12,0.359,97.7,60,26.0,61.2,0
TB000093,Blue,2018-07-13,2964,SJU,38,0,4,5,13,360.43,4381.39,Blue,0.428,9,0.692,0.51,0.066,24250,3441,38.23,190,23489,0,0,0,4.74,7,5,0.698,15,0.825,95.8,60,43.8,66.5,0
TB000094,Blue,2019-10-18,2502,MCO,19,4,5,6,10,463.77,4172.34,Blue,0.141,10,1.0,0.303,0.165,20401,3610,40.11,6,4331,0,0,0,4.45,6,3,0.462,20,0.673,97.9,72,41.7,70.5,0
TB000095,Blue,2021-06-06,1905,JFK,26,2,2,6,14,313.35,4720.07,Blue Basic,0.396,3,0.214,0.295,0.119,5275,1708,18.98,455,10266,1,0,0,4.67,10,2,0.215,8,0.17,97.1,72,47.2,72.1,0
TB000096,Blue,2023-06-06,1175,MCO,43,3,3,3,4,441.54,1515.45,Blue Extra,0.339,4,1.0,0.349,0.083,24396,3019,33.54,643,3726,1,0,0,4.09,4,4,0.916,7,0.428,95.2,36,15.2,48.8,0
TB000097,Blue,2017-02-15,3477,LAX,331,2,5,5,12,248.06,2764.35,Blue Basic,0.551,5,0.417,0.252,0.082,433,2227,24.74,26,0,0,1,0,2.84,8,2,0.285,19,0.069,63.2,60,27.6,50.3,1
TB000098,Blue,2025-01-30,571,FLL,566,2,3,5,8,265.63,2196.63,Blue Basic,0.172,2,0.25,0.488,0.236,9688,722,8.02,763,0,0,0,0,4.6,6,2,0.301,2,0.493,37.1,60,22.0,39.7,1
TB000099,Mosaic,2016-12-07,3547,BOS,104,2,3,4,14,369.0,5165.4,Blue,0.154,7,0.5,0.491,0.076,23194,4390,48.78,1,10045,0,0,0,4.86,6,3,0.583,13,0.522,88.4,48,51.7,62.7,0
TB000100,Blue,2017-02-27,3465,JFK,361,2,2,7,15,294.48,4646.88,Blue Basic,0.293,7,0.467,0.393,0.141,7931,2296,25.51,368,3406,0,2,1,3.85,8,2,0.255,22,0.173,59.9,84,46.5,63.5,1
TB000101,Blue,2022-03-08,1630,JFK,262,0,3,8,18,304.61,5706.59,Blue,0.408,5,0.278,0.463,0.045,17585,2923,32.48,60,4078,0,1,0,3.4,5,3,0.685,2,0.102,70.9,96,57.1,74.7,0
TB000102,Blue,2024-08-29,725,JFK,236,0,0,2,9,277.69,2222.33,Blue Basic,0.509,1,0.111,0.29,0.026,6378,2105,23.39,24,6545,0,3,0,3.37,6,0,0.0,7,0.0,73.8,24,22.2,40.0,1
TB000103,Blue Plus,2019-08-26,2555,SJU,25,1,1,1,1,139.93,127.97,Blue Extra,0.465,5,1.0,0.32,0.165,3250,3256,36.18,68,13338,0,1,0,2.66,5,2,0.389,11,0.184,97.2,12,1.3,36.8,0
TB000104,Blue,2021-07-31,1850,BOS,27,4,4,4,9,347.84,3424.28,Blue Basic,0.517,8,0.889,0.369,0.117,23273,800,8.89,10,12216,0,0,0,4.88,5,2,0.483,8,0.41,97.0,48,34.2,59.7,0
TB000105,Blue,2022-05-14,1563,JFK,26,2,2,2,2,235.31,524.66,Blue,0.399,6,1.0,0.428,0.308,3254,1434,15.93,367,11121,0,0,0,4.58,4,0,0.083,7,0.48,97.1,24,5.2,42.1,0
TB000106,Blue,2022-07-13,1503,MCO,1,2,4,5,14,310.94,4166.97,Blue,0.227,8,0.571,0.298,0.097,22657,26,0.29,4,14813,0,0,0,4.91,3,1,0.296,29,0.588,99.9,60,41.7,67.2,0
TB000107,Blue,2018-07-08,2969,BOS,168,1,4,4,10,297.32,3408.48,Blue Extra,0.131,5,0.5,0.39,0.156,12052,1925,21.39,123,3147,0,2,0,3.37,7,3,0.491,0,0.46,81.3,48,34.1,54.5,1
TB000108,Blue,2023-05-22,1190,JFK,261,0,2,3,11,295.75,2863.87,Blue,0.314,6,0.545,0.429,0.0,11159,1435,15.94,625,2695,0,0,0,4.59,8,4,0.452,18,0.364,71.0,36,28.6,45.2,1
TB000109,Blue,2017-10-13,3237,BOS,66,0,2,6,22,279.93,6416.46,Blue Basic,0.095,6,0.273,0.376,0.377,22218,5529,61.43,10,7462,0,0,0,4.83,4,2,0.468,22,0.597,92.7,72,64.2,76.3,0
TB000110,Blue Plus,2026-07-15,40,MCO,26,3,6,10,13,341.63,4275.11,Blue Extra,0.262,4,0.308,0.374,0.177,20433,2138,23.76,25,13123,0,0,0,4.69,7,4,0.515,8,0.602,97.1,100,42.8,80.0,0
TB000111,Blue,2015-09-27,3984,LAX,188,0,0,0,14,302.29,4834.36,Blue,0.0,3,0.214,0.296,0.093,16064,2512,27.91,191,3695,0,1,1,4.52,7,1,0.123,3,0.395,79.1,0,48.3,42.5,1
