transaction_amount,transaction_hour,location_mismatch,previous_fraud_flags,velocity_last_1hr,account_age_days,failed_auth_attempts,ip_country_match,amount_deviation_ratio,is_weekend,distance_from_home_km,cvv_match,is_fraudulent_transaction,cvv_match_missing,transaction_amount_missing,ip_country_match_missing,device_type_mobile,device_type_tablet,device_type_unknown,card_type_debit,card_type_prepaid,card_type_virtual,transaction_channel_mobile_app,transaction_channel_online,transaction_channel_pos,merchant_category_electronics,merchant_category_entertainment,merchant_category_gambling,merchant_category_groceries,merchant_category_healthcare,merchant_category_retail,merchant_category_travel
125.2,9.0,0.0,0.0,0.0,509.0,0.0,1.0,0.0535,1.0,13.95,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
15.96,21.0,0.0,0.0,,1294.0,,1.0,,0.0,3.46,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
19.04,12.0,0.0,0.0,2.0,,1.0,1.0,-0.8198,0.0,4.74,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3181.34,3.0,1.0,2.0,,42.0,,1.0,,0.0,,0.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
48.45,8.0,0.0,0.0,0.0,,0.0,1.0,-0.8266,0.0,11.19,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
524.56,12.0,0.0,,2.0,118.0,1.0,1.0,14.0198,1.0,23.01,1.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
235.03,12.0,0.0,0.0,1.0,171.0,0.0,1.0,-0.6753,0.0,6.44,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
85.22,13.0,0.0,0.0,0.0,518.0,1.0,1.0,-0.5405,0.0,52.96,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
512.68,6.0,0.0,0.0,2.0,967.0,0.0,1.0,,1.0,0.6,1.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1636.28,3.0,0.0,3.0,,11.0,,0.0,4.8078,0.0,348.36,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
687197.86,12.0,0.0,0.0,1.0,14.0,0.0,1.0,1674.0593,0.0,8.92,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
111.38,14.0,0.0,0.0,1.0,1151.0,0.0,1.0,2.1269,0.0,12.09,1.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
164.22,17.0,0.0,0.0,1.0,55.0,,1.0,,0.0,5.49,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
41.44,7.0,0.0,1.0,1.0,944.0,0.0,1.0,-0.7527,1.0,20.9,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
75.11,12.0,0.0,0.0,3.0,,,1.0,0.3315,0.0,9.24,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
126.26,15.0,0.0,2.0,13.0,,1.0,0.0,1.8454,0.0,237.88,0.0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
75.99,8.0,0.0,0.0,2.0,290.0,0.0,1.0,-0.4287,0.0,,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
412.41,14.0,0.0,1.0,0.0,241.0,1.0,1.0,1.3561,0.0,19.68,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
11.37,15.0,0.0,0.0,,330.0,1.0,1.0,,0.0,34.68,1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
84.97,17.0,0.0,0.0,0.0,2352.0,0.0,1.0,-0.7602,0.0,4.76,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
153.69,13.0,0.0,0.0,2.0,3105.0,1.0,1.0,0.0585,0.0,45.12,1.0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
126.26,14.0,0.0,0.0,2.0,,0.0,1.0,0.6694,0.0,4.05,1.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
126.26,18.0,0.0,0.0,2.0,,0.0,1.0,,1.0,,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
201.24,16.0,0.0,0.0,2.0,,0.0,1.0,1.4108,0.0,26.1,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
253.79,14.0,0.0,,2.0,989.0,,1.0,,0.0,19.45,1.0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1479.88,0.0,0.0,4.0,9.0,11.0,3.0,0.0,8.9816,1.0,759.03,0.0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
55.46,15.0,0.0,0.0,2.0,,1.0,1.0,0.7552,0.0,,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
126.26,8.0,1.0,4.0,9.0,64.0,,0.0,1.6212,0.0,124.94,0.0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
27.01,8.0,0.0,0.0,2.0,8.0,0.0,1.0,-0.9482,0.0,22.35,1.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
33.82,10.0,0.0,0.0,3.0,1369.0,0.0,1.0,-0.9287,0.0,16.93,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
126.26,0.0,0.0,0.0,1.0,,0.0,1.0,-0.5493,1.0,26.15,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
126.26,10.0,0.0,0.0,1.0,362.0,0.0,0.0,,0.0,26.25,1.0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
294.56,15.0,0.0,0.0,,636.0,,1.0,1.4868,1.0,3.49,1.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
35.72,19.0,0.0,0.0,0.0,1192.0,0.0,1.0,-0.9044,1.0,18.58,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
32.16,11.0,0.0,0.0,0.0,664.0,0.0,1.0,-0.9082,0.0,26.66,1.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
409.02,14.0,0.0,0.0,,,,1.0,,0.0,41.5,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
131.9,11.0,0.0,0.0,4.0,1439.0,0.0,1.0,0.9416,0.0,3.72,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
42.13,6.0,0.0,1.0,,741.0,0.0,1.0,0.9005,0.0,32.58,1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
5.56,15.0,0.0,0.0,,55.0,0.0,1.0,-0.9919,0.0,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
223.02,15.0,0.0,0.0,0.0,651.0,0.0,1.0,,1.0,5.57,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1958.88,16.0,1.0,1.0,11.0,27.0,5.0,0.0,,0.0,1240.57,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
167.26,15.0,0.0,0.0,0.0,225.0,0.0,1.0,-0.0777,0.0,8.49,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
737954.79,20.0,0.0,0.0,1.0,705.0,0.0,1.0,2960.0462,1.0,7.17,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
297.89,12.0,0.0,0.0,,50.0,0.0,1.0,4.286,0.0,,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
126.26,14.0,1.0,1.0,9.0,27.0,2.0,1.0,297.1685,1.0,,0.0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
53.36,17.0,1.0,0.0,1.0,164.0,,1.0,-0.7416,0.0,,1.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
126.26,2.0,0.0,0.0,2.0,140.0,0.0,0.0,-0.2704,0.0,0.85,1.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
224.89,8.0,0.0,0.0,0.0,489.0,0.0,1.0,0.2069,1.0,,1.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
208.19,16.0,0.0,0.0,,,0.0,1.0,,0.0,20.51,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
126.26,1.0,0.0,0.0,0.0,588.0,,1.0,,0.0,,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
126.26,16.0,0.0,0.0,,,,1.0,,0.0,16.39,1.0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
88.87,18.0,0.0,0.0,1.0,784.0,0.0,1.0,-0.0524,0.0,5.77,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
143.5,7.0,0.0,0.0,,3122.0,1.0,1.0,1.0147,0.0,8.75,1.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
313.33,16.0,0.0,0.0,1.0,1518.0,0.0,1.0,1.3075,0.0,21.58,1.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
46.56,12.0,0.0,0.0,2.0,1249.0,,1.0,-0.6979,0.0,18.62,1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
221.17,12.0,0.0,1.0,2.0,,0.0,1.0,0.3647,0.0,35.38,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
78.25,17.0,0.0,0.0,0.0,2230.0,,1.0,-0.216,0.0,52.73,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
17.31,4.0,0.0,0.0,,1227.0,0.0,1.0,-0.6475,1.0,,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
126.26,19.0,0.0,0.0,0.0,1228.0,0.0,1.0,-0.837,1.0,,1.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
200.31,18.0,0.0,0.0,0.0,676.0,0.0,1.0,-0.4921,0.0,,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
108653.63,11.0,0.0,0.0,,593.0,0.0,1.0,1296.6099,0.0,11.37,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
126.26,14.0,0.0,0.0,,425.0,0.0,1.0,-0.1942,0.0,10.7,1.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
49.23,18.0,0.0,0.0,4.0,139.0,0.0,1.0,-0.6991,0.0,18.9,1.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
126.26,9.0,1.0,0.0,,155.0,0.0,1.0,-0.9329,1.0,0.18,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
126.26,12.0,0.0,0.0,2.0,657.0,,1.0,-0.9612,0.0,,1.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1054.09,8.0,0.0,0.0,,1731.0,,1.0,2.2485,0.0,26.78,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
150.76,13.0,0.0,0.0,1.0,252.0,,1.0,-0.4571,0.0,23.47,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
647.23,15.0,0.0,,0.0,3846.0,0.0,1.0,15.4009,0.0,44.22,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
270.05,13.0,0.0,0.0,,,0.0,1.0,0.5399,1.0,40.4,1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
126.26,22.0,0.0,0.0,2.0,,0.0,1.0,-0.5461,1.0,51.89,1.0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
126.26,15.0,0.0,0.0,,1125.0,1.0,1.0,2.1937,0.0,11.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5.83,13.0,0.0,0.0,0.0,,0.0,1.0,-0.9256,0.0,18.98,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64.5,12.0,0.0,0.0,0.0,179.0,0.0,1.0,-0.8211,0.0,10.07,1.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
127.99,8.0,0.0,0.0,2.0,,0.0,1.0,,0.0,,1.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
159.99,18.0,0.0,0.0,0.0,1786.0,,1.0,1.475,0.0,9.74,1.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
59.15,12.0,0.0,0.0,0.0,30.0,0.0,1.0,-0.6322,1.0,,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
126.26,17.0,0.0,0.0,0.0,1601.0,0.0,1.0,-0.3085,0.0,7.7,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
126.26,12.0,0.0,0.0,2.0,98.0,0.0,1.0,-0.5337,0.0,7.94,1.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
100.6,0.0,1.0,0.0,,180.0,0.0,1.0,0.0897,0.0,4.82,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
21.2,9.0,0.0,0.0,3.0,214.0,,1.0,-0.8654,1.0,3.51,1.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
32.7,12.0,0.0,0.0,1.0,1372.0,,1.0,-0.4989,0.0,20.65,1.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
126.26,16.0,0.0,0.0,0.0,320.0,0.0,1.0,,0.0,2.43,1.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
236.87,10.0,0.0,0.0,1.0,592.0,0.0,1.0,,1.0,,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
58.66,0.0,0.0,0.0,0.0,195.0,0.0,1.0,0.2274,0.0,8.56,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
459194.27,17.0,0.0,,,2586.0,,1.0,2091.7194,0.0,1.16,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
262.73,9.0,0.0,0.0,2.0,,1.0,1.0,0.7332,1.0,,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
83.09,14.0,0.0,0.0,0.0,34.0,1.0,1.0,,1.0,,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
126.26,18.0,0.0,0.0,,776.0,0.0,1.0,,0.0,,1.0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
8.25,8.0,0.0,0.0,3.0,,0.0,1.0,-0.8103,0.0,3.11,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
126.26,12.0,0.0,,1.0,1379.0,,1.0,,0.0,8.32,1.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
151.24,12.0,0.0,0.0,1.0,358.0,0.0,1.0,0.2682,0.0,20.86,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
151.54,10.0,0.0,0.0,1.0,15.0,0.0,1.0,,1.0,103.05,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15.48,15.0,0.0,0.0,0.0,576.0,0.0,1.0,,0.0,78.04,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
126.26,16.0,0.0,0.0,1.0,994.0,,1.0,-0.0904,0.0,14.02,1.0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
140.79,9.0,0.0,0.0,,423.0,0.0,1.0,0.9393,1.0,18.04,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
195.16,16.0,0.0,,,,0.0,1.0,-0.0747,0.0,,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
357.28,9.0,0.0,0.0,1.0,,,1.0,2.6041,0.0,29.45,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
70.33,13.0,0.0,0.0,0.0,494.0,0.0,1.0,-0.3508,0.0,,1.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
163.24,10.0,0.0,0.0,,611.0,0.0,1.0,-0.5187,1.0,29.32,1.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
126.26,12.0,0.0,0.0,0.0,1742.0,,1.0,-0.6573,1.0,,1.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
14.29,18.0,0.0,,3.0,1854.0,0.0,1.0,-0.9707,0.0,6.54,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
80.64,21.0,0.0,0.0,2.0,,0.0,1.0,-0.7572,0.0,6.12,1.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
127.97,20.0,0.0,,2.0,199.0,0.0,1.0,,0.0,45.95,1.0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
75.81,14.0,0.0,0.0,1.0,1842.0,,1.0,-0.7083,1.0,15.59,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
344.3,0.0,0.0,,1.0,,0.0,1.0,-0.6314,0.0,0.08,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
128.2,6.0,0.0,0.0,0.0,457.0,0.0,1.0,-0.1861,0.0,6.6,1.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
126.26,23.0,0.0,1.0,,,0.0,1.0,0.4265,0.0,17.73,1.0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
126.26,23.0,0.0,0.0,,550.0,,1.0,-0.6779,0.0,15.37,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
25.8,16.0,0.0,0.0,0.0,1238.0,0.0,1.0,-0.8992,0.0,0.02,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
138.94,8.0,0.0,0.0,,629.0,,1.0,1.4129,0.0,3.86,1.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
105.25,15.0,0.0,0.0,2.0,1461.0,0.0,1.0,-0.7508,0.0,8.16,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
126.26,17.0,0.0,0.0,2.0,,0.0,1.0,-0.4706,0.0,39.17,1.0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
80.32,16.0,0.0,,0.0,629.0,0.0,1.0,1.0771,0.0,2.08,1.0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
126.26,15.0,0.0,0.0,0.0,125.0,0.0,1.0,1.0092,0.0,2.93,1.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
55.65,13.0,0.0,0.0,1.0,,0.0,1.0,-0.5689,0.0,,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
56.82,12.0,0.0,0.0,0.0,4.0,0.0,1.0,-0.0521,0.0,,1.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4035.66,4.0,0.0,4.0,3.0,4.0,,0.0,11.2967,0.0,254.56,1.0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
126.26,11.0,0.0,0.0,,1173.0,0.0,1.0,,0.0,33.87,1.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
7.32,8.0,0.0,0.0,0.0,10.0,0.0,1.0,-0.8255,0.0,41.14,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
126.26,12.0,0.0,0.0,2.0,129.0,0.0,1.0,,0.0,10.67,1.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
475.36,15.0,0.0,,3.0,398.0,0.0,1.0,-0.0814,0.0,9.22,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
176.09,8.0,0.0,0.0,0.0,,0.0,1.0,1.1822,0.0,5.86,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
126.26,11.0,0.0,0.0,1.0,113.0,0.0,1.0,0.0845,1.0,17.51,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
49.54,17.0,0.0,0.0,1.0,336.0,0.0,1.0,,1.0,8.03,1.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
126.26,8.0,0.0,0.0,1.0,265.0,0.0,1.0,20.8788,0.0,4.19,1.0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
5.02,9.0,0.0,,,2727.0,0.0,1.0,,0.0,1.8,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
592.93,3.0,0.0,,10.0,,1.0,1.0,0.4043,1.0,246.2,1.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
136.52,12.0,0.0,0.0,1.0,,0.0,1.0,,1.0,19.58,1.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
204.11,10.0,0.0,0.0,2.0,139.0,,1.0,-0.1805,0.0,4.82,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
194.3,4.0,0.0,0.0,,3099.0,0.0,1.0,-0.3371,1.0,46.06,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
93.85,14.0,0.0,0.0,,409.0,0.0,1.0,-0.118,0.0,,1.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
126.26,0.0,0.0,3.0,7.0,65.0,6.0,0.0,,0.0,2647.61,0.0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
88.68,12.0,0.0,0.0,0.0,950.0,,1.0,-0.0356,1.0,13.24,1.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
121.21,4.0,0.0,0.0,3.0,539.0,0.0,1.0,,1.0,26.92,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85.29,13.0,1.0,0.0,,1328.0,0.0,1.0,2.1486,0.0,16.52,1.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
