transaction_id,transaction_amount,transaction_hour,device_type,location_mismatch,previous_fraud_flags,velocity_last_1hr,merchant_category,card_type,account_age_days,failed_auth_attempts,ip_country_match,amount_deviation_ratio,transaction_channel,is_weekend,distance_from_home_km,cvv_match,is_fraudulent_transaction
TXN0000118,357.28,9.0,mobile,0.0,0.0,1.0,groceries,credit,,,1.0,2.6041,online,0.0,29.45,1.0,0
TXN0000119,70.33,13.0,mobile,0.0,0.0,0.0,retail,credit,494.0,0.0,,-0.3508,pos,0.0,,1.0,0
TXN0000120,163.24,10.0,desktop,0.0,0.0,,retail,debit,611.0,0.0,1.0,-0.5187,pos,1.0,29.32,1.0,0
TXN0000121,,,unknown,0.0,0.0,0.0,entertainment,credit,1742.0,,1.0,-0.6573,online,1.0,,1.0,0
TXN0000122,14.29,18.0,desktop,0.0,,3.0,,credit,1854.0,0.0,1.0,-0.9707,,0.0,6.54,1.0,0
TXN0000123,80.64,21.0,desktop,0.0,0.0,2.0,,debit,,0.0,1.0,-0.7572,mobile_app,0.0,6.12,1.0,0
TXN0000124,127.97,20.0,mobile,,,2.0,retail,debit,199.0,0.0,,,pos,0.0,45.95,1.0,0
TXN0000125,75.81,14.0,mobile,0.0,0.0,1.0,travel,debit,1842.0,,1.0,-0.7083,pos,1.0,15.59,1.0,0
TXN0000126,344.3,0.0,mobile,0.0,,1.0,retail,debit,,0.0,1.0,-0.6314,atm,0.0,0.08,1.0,0
TXN0000127,128.2,6.0,mobile,,0.0,0.0,retail,debit,457.0,0.0,1.0,-0.1861,,,6.6,1.0,0
TXN0000128,,23.0,tablet,0.0,1.0,,retail,debit,,0.0,,0.4265,pos,0.0,17.73,1.0,0
TXN0000129,,23.0,desktop,0.0,0.0,,healthcare,credit,550.0,,1.0,-0.6779,pos,0.0,15.37,1.0,0
TXN0000130,25.8,16.0,mobile,,0.0,0.0,retail,credit,1238.0,0.0,1.0,-0.8992,pos,0.0,0.02,,0
TXN0000131,138.94,8.0,,0.0,0.0,,groceries,debit,629.0,,1.0,1.4129,,0.0,3.86,,0
TXN0000132,105.25,15.0,mobile,0.0,0.0,2.0,electronics,credit,1461.0,0.0,1.0,-0.7508,pos,0.0,8.16,1.0,0
TXN0000133,,17.0,desktop,0.0,0.0,2.0,groceries,debit,,0.0,1.0,-0.4706,online,0.0,39.17,1.0,0
TXN0000134,80.32,16.0,mobile,0.0,,0.0,groceries,credit,629.0,0.0,,1.0771,online,0.0,2.08,,0
TXN0000135,,15.0,mobile,0.0,0.0,0.0,retail,,125.0,0.0,1.0,1.0092,online,0.0,2.93,1.0,0
TXN0000136,55.65,13.0,desktop,0.0,0.0,1.0,groceries,credit,,0.0,1.0,-0.5689,online,,,1.0,0
TXN0000137,56.82,,tablet,0.0,0.0,0.0,groceries,debit,4.0,0.0,1.0,-0.0521,atm,0.0,,,0
TXN0000138,4035.66,4.0,,0.0,4.0,3.0,crypto,debit,4.0,,0.0,11.2967,,0.0,254.56,,1
TXN0000139,,11.0,desktop,0.0,0.0,,groceries,debit,1173.0,0.0,1.0,,pos,0.0,33.87,1.0,0
TXN0000140,7.32,8.0,desktop,0.0,0.0,0.0,entertainment,,10.0,0.0,,-0.8255,atm,0.0,41.14,1.0,0
TXN0000141,,,mobile,0.0,0.0,2.0,retail,credit,129.0,0.0,1.0,,,0.0,10.67,1.0,0
TXN0000142,475.36,15.0,desktop,0.0,,3.0,retail,debit,398.0,0.0,1.0,-0.0814,online,0.0,9.22,1.0,0
TXN0000143,176.09,8.0,mobile,,0.0,0.0,groceries,credit,,0.0,1.0,1.1822,online,,5.86,1.0,0
TXN0000144,,11.0,desktop,0.0,0.0,1.0,retail,credit,113.0,0.0,1.0,0.0845,pos,1.0,17.51,1.0,0
TXN0000145,49.54,17.0,mobile,,0.0,1.0,entertainment,debit,336.0,0.0,1.0,,mobile_app,1.0,8.03,1.0,0
TXN0000146,,8.0,unknown,0.0,0.0,1.0,groceries,credit,265.0,0.0,1.0,20.8788,pos,0.0,4.19,,0
TXN0000147,5.02,9.0,desktop,0.0,,,groceries,debit,2727.0,0.0,1.0,,online,0.0,1.8,1.0,0
TXN0000148,592.93,3.0,desktop,0.0,,10.0,healthcare,prepaid,,1.0,,0.4043,,1.0,246.2,1.0,1
TXN0000149,136.52,12.0,tablet,0.0,0.0,1.0,healthcare,debit,,0.0,1.0,,atm,1.0,19.58,,0
TXN0000150,204.11,10.0,desktop,0.0,0.0,2.0,travel,prepaid,139.0,,1.0,-0.1805,pos,0.0,4.82,1.0,0
TXN0000151,194.3,4.0,mobile,0.0,0.0,,travel,credit,3099.0,0.0,1.0,-0.3371,pos,1.0,46.06,1.0,0
TXN0000152,93.85,14.0,mobile,0.0,0.0,,retail,virtual,409.0,0.0,1.0,-0.118,mobile_app,0.0,,1.0,0
TXN0000153,,0.0,tablet,,3.0,7.0,gambling,virtual,65.0,6.0,0.0,,online,,2647.61,0.0,1
TXN0000154,88.68,,mobile,0.0,0.0,0.0,entertainment,debit,950.0,,1.0,-0.0356,pos,1.0,13.24,,0
TXN0000155,121.21,4.0,desktop,0.0,0.0,3.0,groceries,,539.0,0.0,1.0,,atm,1.0,26.92,,0
TXN0000156,85.29,13.0,mobile,1.0,0.0,,entertainment,credit,1328.0,0.0,,2.1486,pos,0.0,16.52,1.0,0
TXN0000157,197.64,13.0,,,0.0,1.0,groceries,credit,1909.0,,1.0,-0.6027,online,0.0,16.41,1.0,0
TXN0000158,,15.0,tablet,0.0,0.0,0.0,retail,prepaid,,0.0,0.0,-0.9376,pos,,,1.0,0
TXN0000159,726.19,9.0,,0.0,0.0,1.0,groceries,virtual,624.0,0.0,1.0,16.374,online,0.0,11.78,1.0,0
TXN0000160,900295.43,13.0,tablet,0.0,0.0,,retail,debit,464.0,0.0,1.0,,atm,0.0,15.85,1.0,0
TXN0000161,6.15,12.0,mobile,0.0,0.0,,groceries,,992.0,0.0,1.0,,pos,1.0,10.12,,0
TXN0000162,68.03,11.0,mobile,1.0,0.0,2.0,,credit,,0.0,1.0,-0.5728,pos,0.0,10.57,1.0,0
TXN0000163,513033.77,13.0,desktop,0.0,4.0,12.0,travel,,16.0,,0.0,4682.0518,online,0.0,265.95,,1
TXN0000164,,18.0,desktop,1.0,4.0,,gambling,prepaid,6.0,,0.0,,online,0.0,,,1
TXN0000165,92.52,13.0,desktop,0.0,0.0,1.0,entertainment,credit,222.0,0.0,1.0,-0.2048,online,1.0,14.32,1.0,0
TXN0000166,30.83,6.0,desktop,0.0,,2.0,electronics,debit,198.0,0.0,1.0,0.0781,online,0.0,27.65,1.0,0
TXN0000167,242.98,19.0,mobile,0.0,0.0,0.0,entertainment,credit,796.0,1.0,0.0,0.1916,pos,0.0,,,0
TXN0000168,371.4,,mobile,0.0,0.0,0.0,retail,debit,138.0,0.0,,,,0.0,12.72,1.0,0
TXN0000169,6.08,14.0,mobile,0.0,0.0,1.0,retail,debit,982.0,0.0,1.0,,online,0.0,,,0
TXN0000170,1994.94,4.0,,1.0,4.0,9.0,,credit,47.0,5.0,0.0,10.5653,online,1.0,133.15,0.0,1
TXN0000171,,19.0,desktop,0.0,0.0,5.0,retail,credit,126.0,0.0,1.0,-0.9137,atm,1.0,11.97,1.0,0
TXN0000172,91.16,15.0,mobile,0.0,0.0,2.0,groceries,debit,3430.0,,1.0,-0.4981,online,0.0,9.71,1.0,0
TXN0000173,50.29,6.0,mobile,0.0,0.0,3.0,groceries,prepaid,618.0,0.0,1.0,-0.7333,pos,,148.91,1.0,0
TXN0000174,,20.0,mobile,0.0,0.0,1.0,electronics,debit,,0.0,1.0,0.5041,pos,0.0,11.0,,0
TXN0000175,,12.0,mobile,0.0,0.0,0.0,groceries,credit,,0.0,1.0,12.5358,online,0.0,8.1,1.0,0
TXN0000176,,16.0,desktop,0.0,,1.0,retail,virtual,1319.0,,,-0.5064,pos,0.0,2.51,1.0,0
TXN0000177,36.08,,desktop,0.0,0.0,,entertainment,debit,355.0,0.0,1.0,-0.7186,pos,0.0,,1.0,0
TXN0000178,128.72,22.0,mobile,0.0,0.0,5.0,electronics,debit,,0.0,1.0,-0.4025,mobile_app,1.0,3.6,1.0,0
TXN0000179,152.73,9.0,mobile,0.0,0.0,3.0,groceries,debit,144.0,0.0,1.0,,mobile_app,1.0,45.6,1.0,0
TXN0000180,260.42,7.0,,0.0,0.0,,groceries,credit,1799.0,0.0,1.0,8.2342,,,,1.0,0
TXN0000181,355.0,17.0,mobile,0.0,0.0,,,debit,,,,,pos,0.0,5.11,1.0,0
TXN0000182,,7.0,,0.0,0.0,3.0,entertainment,credit,991.0,,,,pos,0.0,29.61,1.0,0
TXN0000183,,3.0,,0.0,0.0,2.0,entertainment,,,0.0,1.0,,online,0.0,,,0
TXN0000184,,20.0,desktop,1.0,4.0,,,debit,60.0,2.0,0.0,,mobile_app,,238.68,,1
TXN0000185,112.99,14.0,desktop,0.0,0.0,3.0,travel,debit,,0.0,1.0,-0.6655,online,0.0,,1.0,0
TXN0000186,,7.0,mobile,0.0,0.0,0.0,retail,debit,117.0,0.0,1.0,-0.1789,pos,0.0,24.03,,0
TXN0000187,7.1,7.0,desktop,0.0,0.0,0.0,retail,prepaid,856.0,,1.0,-0.9703,online,0.0,2.57,,0
TXN0000188,271.2,15.0,mobile,0.0,0.0,0.0,electronics,debit,296.0,0.0,1.0,1.3061,pos,0.0,,1.0,0
TXN0000189,97.13,11.0,mobile,1.0,0.0,0.0,electronics,debit,4.0,0.0,1.0,-0.7391,,,3.07,1.0,0
TXN0000190,35.58,9.0,mobile,,1.0,2.0,retail,prepaid,,,1.0,-0.6637,,0.0,0.57,1.0,0
TXN0000191,384.85,17.0,desktop,0.0,0.0,0.0,entertainment,debit,749.0,1.0,1.0,-0.0673,atm,0.0,14.23,1.0,0
TXN0000192,36.42,,mobile,0.0,1.0,0.0,travel,credit,484.0,0.0,1.0,-0.0919,online,,,1.0,0
TXN0000193,407.31,11.0,desktop,0.0,0.0,3.0,travel,credit,129.0,0.0,1.0,1.0897,pos,0.0,,1.0,0
TXN0000194,,7.0,desktop,,0.0,,travel,debit,2008.0,,1.0,-0.5552,online,,11.64,1.0,0
TXN0000195,,9.0,tablet,0.0,0.0,,retail,,279.0,0.0,1.0,-0.735,,0.0,46.72,,0
TXN0000196,32.16,13.0,desktop,0.0,0.0,1.0,travel,credit,2032.0,0.0,1.0,,atm,1.0,,1.0,0
TXN0000197,,15.0,tablet,0.0,,1.0,groceries,prepaid,5.0,0.0,1.0,0.6042,mobile_app,1.0,32.07,1.0,0
TXN0000198,9.66,10.0,mobile,1.0,0.0,0.0,retail,,478.0,0.0,1.0,,online,1.0,1.83,1.0,0
TXN0000199,339.73,13.0,tablet,0.0,0.0,,travel,,,,1.0,1.1315,pos,0.0,,,0
TXN0000200,371.57,12.0,desktop,0.0,0.0,2.0,groceries,debit,543.0,0.0,1.0,,pos,,12.66,1.0,0
TXN0000201,,4.0,desktop,0.0,0.0,0.0,groceries,debit,2354.0,0.0,1.0,-0.8471,mobile_app,0.0,22.69,,0
TXN0000202,210.72,19.0,desktop,,0.0,3.0,healthcare,credit,,0.0,1.0,,pos,0.0,,1.0,0
TXN0000203,19.83,7.0,desktop,1.0,1.0,4.0,groceries,credit,,0.0,1.0,,pos,0.0,14.45,1.0,0
TXN0000204,,21.0,tablet,1.0,3.0,,electronics,prepaid,,7.0,0.0,297.3191,mobile_app,,186.93,,1
TXN0000205,29.58,17.0,mobile,0.0,0.0,,retail,debit,985.0,0.0,1.0,,,,38.64,1.0,0
TXN0000206,140.33,9.0,mobile,0.0,0.0,1.0,healthcare,debit,,,1.0,0.6205,pos,0.0,4.43,1.0,0
TXN0000207,41.67,6.0,desktop,0.0,0.0,1.0,entertainment,virtual,993.0,0.0,1.0,-0.6062,pos,0.0,5.78,,0
TXN0000208,211.16,17.0,mobile,0.0,0.0,0.0,healthcare,credit,,0.0,1.0,1.3349,pos,1.0,20.53,1.0,0
TXN0000209,359.83,11.0,mobile,0.0,0.0,,groceries,debit,,0.0,1.0,2.6202,pos,1.0,16.6,1.0,0
TXN0000210,,14.0,mobile,0.0,0.0,3.0,,credit,403.0,,1.0,-0.9344,atm,0.0,8.07,1.0,0
